magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami,dmin:Year,dmin:cdi,Year:cdi
6.5,6.0,4,652,431.78896882494007,10.405,19.0,301.0,-18.9204,-176.235,2021,4,0,21028.504999999997,62.42999999999999,12126.0
7.0,7.0,7,1052,431.78896882494007,2.378,35.0,43.0,38.4752,141.607,2021,3,1,4805.938,16.646,14147.0
6.6,5.0,5,672,431.78896882494007,3.183,18.0,13.23,54.7018,163.208,2021,3,1,6432.843,15.915,10105.0
6.5,-999.0,4,650,431.78896882494007,11.764,25.0,24.0,-28.4792,-176.619,2021,3,0,23775.043999999998,-11752.235999999999,-2018979.0
8.1,9.0,8,1021,431.78896882494007,0.739,21.0,28.93,-29.7466,-177.224,2021,3,1,1493.519,6.651,18189.0
7.4,3.0,7,843,431.78896882494007,0.437,30.0,43.0,-29.6131,-177.842,2021,3,1,883.177,1.311,6063.0
7.3,7.0,6,932,431.78896882494007,0.918,24.0,10.0,-37.596,179.544,2021,3,1,1855.278,6.426,14147.0
7.1,9.0,8,1612,431.78896882494007,3.085,11.0,43.98,37.6856,141.992,2021,2,1,6234.785,27.765,18189.0
7.7,9.0,4,918,431.78896882494007,7.989,15.0,10.0,-23.2787,171.489,2021,2,1,16145.769,71.901,18189.0
6.9,9.0,5,739,431.78896882494007,1.55,16.0,15.0,-61.8484,-55.559,2021,1,1,3132.55,13.950000000000001,18189.0
7.0,7.0,5,802,431.78896882494007,2.821,15.0,80.0,5.0074,127.517,2021,1,1,5701.241,19.747,14147.0
6.7,8.0,8,776,431.78896882494007,2.043,22.0,10.0,51.2407,100.443,2021,1,0,4128.903,16.344,16168.0
6.7,5.0,5,776,431.78896882494007,1.319,19.0,10.0,-39.3264,-74.9067,2020,12,1,2664.38,6.595,10100.0
7.0,8.0,7,1527,431.78896882494007,1.518,18.0,21.0,37.8973,26.7953,2020,10,0,3066.36,12.144,16160.0
7.6,9.0,7,1165,431.78896882494007,0.23,36.0,28.37,54.662,-159.675,2020,10,1,464.6,2.0700000000000003,18180.0
6.9,-999.0,3,732,431.78896882494007,11.255,16.0,10.0,0.9604,-26.8332,2020,9,1,22735.100000000002,-11243.745,-2017980.0
6.5,6.0,6,674,431.78896882494007,0.388,49.0,16.0,-27.9285,-71.3937,2020,9,0,783.76,2.3280000000000003,12120.0
6.8,6.0,7,824,431.78896882494007,0.312,69.0,21.0,-28.013,-71.1958,2020,9,1,630.24,1.8719999999999999,12120.0
6.5,4.0,5,651,431.78896882494007,15.394,31.0,10.0,0.8696,-29.7046,2020,8,0,31095.88,61.576,8080.0
6.9,4.0,3,749,431.78896882494007,2.267,20.0,624.0,-6.6704,123.493,2020,8,0,4579.34,9.068,8080.0
6.9,4.0,4,735,431.78896882494007,1.716,25.0,26.0,-4.2791,101.215,2020,8,0,3466.32,6.864,8080.0
6.8,5.0,4,716,431.78896882494007,1.816,34.0,22.0,-4.3724,101.095,2020,8,0,3668.32,9.08,10100.0
6.6,9.0,8,784,431.78896882494007,5.128,14.0,10.0,12.0065,124.13,2020,8,1,10358.56,46.152,18180.0
7.8,9.0,7,1111,431.78896882494007,0.621,60.0,28.0,55.1079,-158.477,2020,7,1,1254.42,5.589,18180.0
7.0,6.0,7,820,431.78896882494007,1.671,18.0,73.0,-7.847,147.755,2020,7,1,3375.42,10.026,12120.0
6.6,4.0,2,684,431.78896882494007,1.458,14.0,533.76,-5.6368,110.678,2020,7,0,2945.16,5.832,8080.0
7.4,8.0,8,1494,431.78896882494007,0.151,30.0,20.0,15.9163,-95.9533,2020,6,1,305.02,1.208,16160.0
7.4,7.0,7,873,431.78896882494007,4.035,23.0,10.0,-33.2938,-177.838,2020,6,1,8150.700000000001,28.245,14140.0
6.6,5.0,4,734,431.78896882494007,2.015,18.0,165.0,28.9386,128.262,2020,6,1,4070.3,10.075000000000001,10100.0
6.8,6.0,6,835,431.78896882494007,1.164,21.0,112.0,-23.2966,-68.4204,2020,6,1,2351.2799999999997,6.984,12120.0
6.5,7.0,8,1320,27.0,0.357,55.79,2.7,38.1689,-117.85,2020,5,0,721.14,2.4989999999999997,14140.0
6.6,4.0,6,671,431.78896882494007,3.403,12.0,107.0,-12.0662,166.648,2020,5,1,6874.06,13.612,8080.0
6.8,4.0,6,738,431.78896882494007,1.921,16.0,96.0,-6.7762,129.785,2020,5,0,3880.42,7.684,8080.0
